,index,代码,名称,成交额,总市值,换手率,首次封板时间,date,t-1 open,t-1 close,t-1 high,t-1 low,t-1 volume,t+0 open,t+0 close,t+0 high,t+0 low,t+0 volume,t+1 open,t+1 close,t+1 high,t+1 low,t+1 volume
0,0,000628,高新发展,24357795,12329800000.0,0.3623274564743042,092500,20231030,31.82,31.82,31.82,31.82,30918284.84,35.0,35.0,35.0,35.0,24357795.0,38.5,38.5,38.5,38.5,259265853.0
1,1,002232,启明信息,68950586,8318046401.28,0.8289276361465454,092500,20231030,18.51,18.51,18.51,18.51,119167231.92,20.36,20.36,20.36,20.36,68950585.56,21.81,20.51,22.4,20.31,2629767059.65
2,2,002437,誉衡药业,121458450,5868988260.48,2.076385259628296,092500,20231030,2.28,2.43,2.43,2.27,406651759.39,2.67,2.67,2.67,2.67,121458449.52,2.94,2.94,2.94,2.94,146266617.0
3,3,000676,智度股份,129442508,9356796134.08,1.3852325677871704,092500,20231030,6.51,6.66,6.67,6.23,348809843.15,7.33,7.33,7.33,7.33,129442507.74,8.06,8.06,8.06,8.06,107555589.96
4,4,603629,利通电子,175143459,9407216000.0,1.8617990016937256,092501,20231030,30.33,33.56,33.56,29.85,932851377.0,36.92,36.92,36.92,36.92,175143459.0,37.65,33.23,37.65,33.23,1370143142.0
5,5,603929,亚翔集成,29286696,4557369600.0,0.6426227688789368,092503,20231030,19.42,19.42,19.42,19.42,55187581.0,21.36,21.36,21.36,21.36,29286696.0,23.5,23.5,23.5,23.5,23563450.0
6,6,002457,青龙管业,1647859632,4284547679.9999995,38.90004348754883,093000,20231030,10.25,11.63,11.63,9.51,1152917552.24,12.79,12.79,12.79,11.69,1647859623.64,11.89,11.51,12.64,11.51,1494753540.09
7,7,603101,汇嘉时代,177584523,4106592000.0,4.385414123535156,093037,20231030,7.25,7.94,7.94,7.24,219177049.0,8.3,8.73,8.73,8.26,177584523.0,8.7,8.2,8.99,7.97,408135142.0
8,8,002682,龙洲股份,2285856416,4611422454.4,51.36160659790039,093045,20231030,7.45,7.45,7.45,7.36,1589787669.4,7.45,8.2,8.2,7.32,2285856419.63,7.38,7.38,7.62,7.38,1049543965.56
9,9,603266,天龙股份,692883504,4892614050.0,14.363574981689453,093119,20231030,22.36,22.36,22.36,22.36,26601066.0,24.6,24.6,24.6,22.83,692883501.0,27.06,27.06,27.06,27.06,351264372.0
10,10,002755,奥赛康,47712717,9476517193.92,0.5084869861602783,093127,20231030,8.79,9.28,9.33,8.74,42685872.29,9.49,10.21,10.21,9.49,47712717.3,10.34,10.49,11.0,9.86,282557114.42
11,11,603108,润达医疗,821263488,11424738143.52,7.271607875823975,093135,20231030,16.26,17.92,17.92,16.25,1340302400.0,19.22,19.71,19.71,18.8,821263488.0,20.5,19.72,21.68,19.3,3280126713.0
12,12,603338,浙江鼎力,173466752,25631329280.64,0.6775930523872375,093209,20231030,43.7,46.02,46.2,43.61,268715955.0,50.62,50.62,50.62,50.02,173466752.0,51.63,54.45,55.68,51.63,861466511.0
13,13,600501,航天晨光,111501648,5895825499.2,1.9542841911315918,093313,20231030,12.46,12.41,12.48,12.28,42884788.0,12.55,13.65,13.65,12.55,111501648.0,13.97,14.01,15.0,13.71,408424095.0
14,14,002178,延华智能,123149272,3268782306.72,3.8173887729644775,093400,20231030,4.32,4.17,4.35,4.08,162872223.24,4.15,4.59,4.59,4.13,123149272.19,4.8,4.65,5.05,4.6,798959935.9
15,15,600410,华胜天成,460064560,8914501813.44,5.2590436935424805,093430,20231030,7.6,7.39,7.68,7.34,616170351.0,7.46,8.13,8.13,7.45,460064553.0,8.4,7.85,8.45,7.84,1174178086.0
16,16,600675,中华企业,106881798,22494738769.92,0.4788646996021271,093455,20231030,3.37,3.35,3.46,3.35,39580159.0,3.51,3.69,3.69,3.48,106881798.0,3.67,3.38,3.72,3.32,353945643.0
17,17,002790,瑞尔特,57287608,4797174049.92,1.9524390697479248,093457,20231030,9.98,10.44,10.57,9.87,83636113.2,10.4,11.48,11.48,10.28,57287607.88,11.36,11.1,11.5,10.82,123847093.86
18,18,600322,津投城开,147908835,2742136000.0,5.520285606384277,093624,20231030,2.29,2.25,2.32,2.24,115962344.0,2.25,2.48,2.48,2.25,147908835.0,2.51,2.73,2.73,2.36,565540749.0
19,19,300782,卓胜微,3112314848,76792840885.12001,4.899584770202637,093636,20231030,113.4,119.88,120.66,113.4,535888596.0,137.86,143.86,143.86,136.0,3112314843.0,149.5,150.7,152.49,145.35,4024908984.0
20,20,002387,维信诺,596285792,15281297097.92,3.9760539531707764,093724,20231030,9.68,10.05,10.35,9.61,512211033.7,10.42,11.06,11.06,10.33,596285784.38,10.88,11.09,11.38,10.6,1154278687.05
21,21,002757,南兴股份,192167678,4455475273.6,4.600771903991699,093909,20231030,13.79,13.71,13.86,13.45,99841394.48,14.18,15.08,15.08,14.06,192167677.81,15.37,14.68,15.37,14.59,374589967.88
22,22,000638,万方发展,100160687,2067803731.84,5.005366325378418,094133,20231030,5.93,6.06,6.29,5.87,95000732.7,5.96,6.67,6.67,5.96,100160687.0,6.68,6.41,6.68,6.31,266302924.9
23,23,603456,九洲药业,417494976,26256181287.84,1.6160184144973755,094435,20231030,25.0,26.54,26.66,24.72,281494757.0,26.74,29.19,29.19,26.68,417494979.0,29.48,29.73,30.79,29.05,749906388.0
24,24,300846,首都在线,1785069040,7389805430.56,32.29203796386719,094654,20231030,13.33,13.19,13.6,13.15,231383779.0,15.06,15.83,15.83,14.46,1785069037.0,15.83,15.02,15.86,14.6,1501964013.0
25,25,002753,永东股份,113800267,2900293202.56,6.165460586547852,094736,20231030,6.85,7.02,7.02,6.81,18687634.0,7.27,7.72,7.72,7.25,113800266.63,7.85,7.6,7.85,7.53,189884811.32
26,26,300350,华鹏飞,312892032,2969756444.1600003,13.159720420837402,094821,20231030,4.37,4.4,4.41,4.34,35029850.0,4.69,5.28,5.28,4.56,312892026.0,5.59,5.2,5.66,5.2,577015058.0
27,27,002889,东方嘉盛,409682656,5016965200.0,13.119186401367188,094951,20231030,21.48,23.64,23.64,21.19,242392423.36,23.64,26.0,26.0,23.21,409682651.13,27.0,28.6,28.6,26.2,612961992.19
28,28,688260,昀冢科技,239846304,3854399999.9999995,11.534459114074707,095036,20231030,26.32,26.77,28.5,25.49,186948182.0,26.66,32.12,32.12,26.63,239846304.0,32.22,32.53,34.39,31.7,251653723.0
29,29,603003,龙宇股份,513346592,4434927237.76,11.858736038208008,095219,20231030,10.25,10.02,10.38,9.8,356034584.0,10.06,11.02,11.02,9.98,513346593.0,11.02,10.6,11.02,10.45,499160189.0
30,30,603332,苏州龙杰,102911672,2169962255.52,4.832560062408447,095802,20231030,8.7,9.12,9.23,8.7,51183605.0,9.42,10.03,10.03,9.3,102911672.0,11.03,9.6,11.03,9.49,279535757.0
31,31,603282,亚光股份,71604120,3717519600.0,7.866581916809082,100044,20231030,24.9,25.25,25.35,24.54,19396056.0,26.51,27.78,27.78,26.32,71604120.0,27.78,26.73,27.78,26.51,94230923.0
